;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
6/17/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
6/18/22;sabato;;;;;;;;;;;;
6/19/22;domenica;;;;;;;;;;;;
6/20/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
6/21/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
6/22/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
6/23/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
6/24/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
6/25/22;sabato;;;;;;;;;;;;
6/26/22;domenica;;;;;;;;;;;;
6/27/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
6/28/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
6/29/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
6/30/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
7/1/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
7/2/22;sabato;;;;;;;;;;;;
7/3/22;domenica;;;;;;;;;;;;
7/4/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
7/5/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
7/6/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
7/7/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
7/8/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
7/9/22;sabato;;;;;;;;;;;;
7/10/22;domenica;;;;;;;;;;;;
7/11/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
7/12/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
7/13/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
7/14/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
7/15/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
7/16/22;sabato;;;;;;;;;;;;
7/17/22;domenica;;;;;;;;;;;;
7/18/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
7/19/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
7/20/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
7/21/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
7/22/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
7/23/22;sabato;;;;;;;;;;;;
7/24/22;domenica;;;;;;;;;;;;
7/25/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
