;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/11/21;
5/5/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
5/6/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
5/7/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
5/8/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/9/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
5/10/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
5/11/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
5/12/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
5/13/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
5/14/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
5/15/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/16/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
5/17/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
5/18/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
5/19/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
5/20/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
5/21/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
5/22/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/23/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
5/24/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
5/25/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
5/26/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
5/27/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
5/28/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
5/29/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/30/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
5/31/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
6/1/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
6/2/22;giovedì;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/3/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
6/4/22;sabato;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;UMIDO + SECCO;CARTA;PLASTICA/LATTINE
6/5/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/6/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
6/7/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
6/8/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
6/9/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
6/10/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
6/11/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
6/12/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/13/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
6/14/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
6/15/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
6/16/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
6/17/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
6/18/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
6/19/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/20/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
6/21/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
6/22/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
6/23/22;giovedì;VETRO 1;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
6/24/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
6/25/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
6/26/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/27/22;lunedì;;;;UMIDO;;;;VETRO 1;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
6/28/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 2;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
6/29/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 2;;;;;;;;;SECCO;;UMIDO;;
6/30/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 2;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
7/1/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
7/2/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
7/3/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/4/22;lunedì;;;;UMIDO;VETRO 2;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
7/5/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;VETRO;CARTA;;;;;;;
7/6/22;mercoledì;;;;;CARTA;;;;;;CARTA;;;SECCO;;;;;;SECCO;;;;;UMIDO;;
7/7/22;giovedì;VETRO 2;CARTA;;UMIDO;;;;;;UMIDO;;;;;;;;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
7/8/22;venerdì;UMIDO;;;;SECCO;;UMIDO;;;;;;UMIDO;;;UMIDO;CARTA;;;;;;CARTA;;;;
7/9/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
7/10/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/11/22;lunedì;;;;UMIDO;;;;VETRO 2;;UMIDO;;;;PLASTICA/LATTINE;;;SECCO;;UMIDO;;;UMIDO;;;UMIDO;;
7/12/22;martedì;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE;;;VETRO 1;;UMIDO;;;UMIDO;;;;PLASTICA/LATTINE;;;;;;;
7/13/22;mercoledì;;;;;PLASTICA/LATTINE;;;;;SECCO;PLASTICA/LATTINE;;;VETRO 1;;;;;;;;;SECCO;;UMIDO;;
7/14/22;giovedì;;PLASTICA/LATTINE;;UMIDO;;;;;;UMIDO;;;;;;;VETRO 1;;UMIDO;;;UMIDO;;;SECCO;CARTA;PLASTICA/LATTINE
7/15/22;venerdì;UMIDO;SECCO;;;;;UMIDO;;;;;;UMIDO;;;UMIDO;PLASTICA/LATTINE;;;;;;PLASTICA/LATTINE;;;;
7/16/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;UMIDO;;
7/17/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/18/22;lunedì;;;;UMIDO;VETRO 1;;;SECCO;;UMIDO;;;;CARTA;;;;;UMIDO;;;UMIDO;;;UMIDO;;
7/19/22;martedì;UMIDO;;;;;;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;CARTA;;;VETRO;;;;
