;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;11/11/21;;;11/11/21;;;11/16/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/16/21;;;11/15/21;;;11/11/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/15/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/4/22;venerdì;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA;;;;;;;;;;;;SECCO SUD;;;;;UMIDO;PLASTICA/LATTINE 2;;UMIDO;SECCO 2;;;;;UMIDO;;;;SECCO B;;UMIDO;PLASTICA/LATTINE B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/5/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/6/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/7/22;lunedì;;;;;;;;;;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;PLASTICA/LATTINE SUD;;UMIDO;PLASTICA/LATTINE NORD;;;;;;;;UMIDO;;;;SECCO A;;UMIDO;PLASTICA/LATTINE A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/8/22;martedì;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;SECCO A;;;;;;;;;;;;;;;PLASTICA/LATTINE SUD;;UMIDO;CARTA 1;;UMIDO;;;;CARTA A;;UMIDO;;;;;;UMIDO;CARTA A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/9/22;mercoledì;;VETRO;;;;;;;;;;;;;;;;;;;;;SECCO NORD;;SECCO 1;;;VETRO;PLASTICA/LATTINE;;;CARTA B;;VETRO B;CARTA A;;VETRO A;;;;SECCO A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/10/22;giovedì;;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE NORD;;UMIDO;;;;;;;;;UMIDO;SECCO B;;;CARTA B;;UMIDO;PLASTICA/LATTINE B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/11/22;venerdì;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;;;;;;;;;;;SECCO NORD;;;;;UMIDO;CARTA 2;;UMIDO;SECCO 1;;;;;UMIDO;;;;SECCO A;;UMIDO;CARTA B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/12/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/13/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/14/22;lunedì;;;;;;;;;;UMIDO;SECCO B;;UMIDO;SECCO B;;UMIDO;SECCO B;;UMIDO;CARTA SUD;;UMIDO;CARTA NORD;;;;;;;;UMIDO;;;;SECCO B;;UMIDO;CARTA A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
